area,total_deaths,total_cases,continent
Falkland Islands,,1930,South America
Fiji,878,68242,Oceania
Finland,5981,1292940,Europe
France,155181,35453449,Europe
French Polynesia,649,76599,Oceania
Gabon,306,48691,Africa
Gambia,372,12508,Africa
Georgia,16900,1780691,Asia
Germany,150064,33386229,Europe
Ghana,1459,169385,Africa
Gibraltar,108,20095,Europe
Greece,33111,4920192,Europe
Greenland,21,11971,North America
Grenada,237,19536,North America
Guatemala,19801,1125164,North America
Guinea,449,37652,Africa
Guinea-Bissau,175,8796,Africa
Guyana,1281,71348,South America
Haiti,857,33756,North America
Honduras,10993,456391,North America
Hong Kong,10167,1769311,Asia
Hungary,47503,2094142,Europe
Iceland,213,205637,Europe
India,528673,44594487,Asia
Indonesia,158122,6433263,Asia
International,15,721,
Iran,144429,7549186,Asia
Iraq,25355,2459982,Asia
Ireland,7942,1663653,Europe
Isle of Man,116,38008,Europe
Israel,11698,4662570,Asia
Italy,177130,22500346,Europe
Jamaica,3320,151931,North America
Japan,44580,21147468,Asia
Jordan,14122,1746997,Asia
Kazakhstan,19050,1483609,Asia
Kenya,5678,338439,Africa
Kiribati,13,3430,Oceania
Kosovo,3199,272075,Europe
Kuwait,2563,658520,Asia
Kyrgyzstan,2991,206083,Asia
Laos,758,215876,Asia
Latvia,5994,930254,Europe
Lebanon,10677,1215925,Asia
Lesotho,706,34490,Africa
Liberia,294,7961,Africa
Libya,6437,506994,Africa
Liechtenstein,86,19713,Europe
Lithuania,9320,1251209,Europe
Luxembourg,1129,291758,Europe
Macao,6,793,Asia
Madagascar,1410,66676,Africa
Malawi,2682,88028,Africa
Malaysia,36374,4845757,Asia
Maldives,308,185042,Asia
Mali,742,32641,Africa
Malta,806,114710,Europe
Marshall Islands,17,15305,Oceania
Mauritania,995,62823,Africa
Mauritius,1026,262648,Africa
Mexico,330131,7090330,North America
Micronesia (country),31,10814,Oceania
Moldova,11844,589437,Europe
Monaco,63,14622,Europe
Mongolia,2131,982864,Asia
Montenegro,2782,280360,Europe
Montserrat,8,1403,North America
Morocco,16278,1264961,Africa
Mozambique,2222,230312,Africa
Myanmar,19459,622802,Asia
Namibia,4080,169253,Africa
Nauru,1,4611,Oceania
Nepal,12018,999759,Asia
Netherlands,22737,8441602,Europe
New Caledonia,314,74288,Oceania
New Zealand,2030,1779556,Oceania
Nicaragua,245,15070,North America
Niger,313,9405,Africa
Nigeria,3155,265431,Africa
North Korea,6,1,Asia
North Macedonia,9534,342961,Europe
Norway,4098,1462437,Europe
Oman,4628,398424,Asia
Pakistan,30616,1572598,Asia
Palau,6,5460,Oceania
Palestine,5707,702768,Asia
Panama,8497,986866,North America
Papua New Guinea,668,44997,Oceania
Paraguay,19591,716543,South America
Peru,216575,4144416,South America
Philippines,62981,3951766,Asia
Poland,117598,6297123,Europe
Portugal,25031,5493540,Europe
Qatar,682,451675,Asia
Romania,67027,3269497,Europe
Russia,379539,20717823,Europe
Rwanda,1466,132501,Africa
Saint Helena,,1656,Africa
Saint Kitts and Nevis,46,6544,North America
Saint Lucia,393,29408,North America
Saint Pierre and Miquelon,1,3188,North America
Saint Vincent and the Grenadines,116,9448,North America
Samoa,29,15925,Oceania
San Marino,118,20793,Europe
Sao Tome and Principe,77,6230,Africa
Saudi Arabia,9353,816575,Asia
Senegal,1968,88398,Africa
Serbia,17012,2363388,Europe
Seychelles,169,47141,Africa
Sierra Leone,126,7751,Africa
Singapore,1619,1911417,Asia
Slovakia,20459,2626218,Europe
Slovenia,6825,1185918,Europe
Solomon Islands,153,21544,Oceania
Somalia,1361,27214,Africa
South Africa,102185,4019077,Africa
South Korea,28489,24819611,Asia
South Sudan,138,17823,Africa
Spain,114179,13422984,Europe
Sri Lanka,16762,670780,Asia
Sudan,4961,63285,Africa
Suriname,1385,81106,South America
Sweden,20225,2588441,Europe
Switzerland,14009,4103959,Europe
Syria,3163,57307,Asia
Taiwan,11101,6504422,Asia
Tajikistan,125,17786,Asia
Tanzania,845,39440,Africa
Thailand,32771,4682132,Asia
Timor,138,23257,Asia
Togo,285,39060,Africa
Tonga,12,16182,Oceania
Trinidad and Tobago,4207,183181,North America
Tunisia,29249,1145686,Africa
Turkey,101139,16873793,Asia
Turks and Caicos Islands,36,6380,North America
Tuvalu,,20,Oceania
Uganda,3630,169396,Africa
Ukraine,117039,5478336,Europe
United Arab Emirates,2345,1028333,Asia
United Kingdom,206865,23672856,Europe
United States,1059605,96392543,North America
Uruguay,7485,985422,South America
Uzbekistan,1637,244218,Asia
Vanuatu,14,11950,Oceania
Vatican,,29,Europe
Venezuela,5816,544860,South America
Vietnam,43149,11480028,Asia
Wallis and Futuna,7,761,Oceania
Yemen,2157,11935,Asia
Zambia,4017,333549,Africa
Zimbabwe,5602,257465,Africa
