area,total_deaths,total_cases,new_cases,location,continent
Philippines,63329,3971455,1468,Philippines,Asia
Poland,117801,6318840,3288,Poland,Europe
Portugal,25106,5505654,3446,Portugal,Europe
Qatar,682,459122,731,Qatar,Asia
Romania,67097,3277020,1000,Romania,Europe
Russia,380556,20929929,13817,Russia,Europe
Rwanda,1467,132523,5,Rwanda,Africa
Saint Helena,,1973,147,Saint Helena,Africa
Saint Kitts and Nevis,46,6546,1,Saint Kitts and Nevis,North America
Saint Lucia,404,29550,0,Saint Lucia,North America
Saint Pierre and Miquelon,1,3231,0,Saint Pierre and Miquelon,North America
Saint Vincent and the Grenadines,116,9448,0,Saint Vincent and the Grenadines,North America
Samoa,29,15942,0,Samoa,Oceania
San Marino,118,21134,81,San Marino,Europe
Sao Tome and Principe,77,6252,0,Sao Tome and Principe,Africa
Saudi Arabia,9372,818033,195,Saudi Arabia,Asia
Senegal,1968,88544,38,Senegal,Africa
Serbia,17099,2381680,2060,Serbia,Europe
Seychelles,169,47141,0,Seychelles,Africa
Sierra Leone,126,7752,1,Sierra Leone,Africa
Singapore,1634,1969648,11732,Singapore,Asia
Slovakia,20485,2633464,1030,Slovakia,Europe
Slovenia,6845,1207041,3696,Slovenia,Europe
Solomon Islands,153,21544,0,Solomon Islands,Oceania
Somalia,1361,27223,0,Somalia,Africa
South Africa,102194,4021746,360,South Africa,Africa
South Korea,28723,25025749,30503,South Korea,Asia
South Sudan,138,17823,0,South Sudan,Africa
Spain,114468,13441941,,Spain,Europe
Sri Lanka,16768,670884,11,Sri Lanka,Asia
Sudan,4962,63344,0,Sudan,Africa
Suriname,1385,81131,17,Suriname,South America
Sweden,20274,2601153,,Sweden,Europe
Switzerland,14020,4164685,35589,Switzerland,Europe
Syria,3163,57326,1,Syria,Asia
Taiwan,11620,6945018,41408,Taiwan,Asia
Tajikistan,125,17786,0,Tajikistan,Asia
Tanzania,845,39513,0,Tanzania,Africa
Thailand,32829,4685047,,Thailand,Asia
Timor,138,23272,0,Timor,Asia
Togo,287,39219,20,Togo,Africa
Tonga,12,16182,0,Tonga,Oceania
Trinidad and Tobago,4224,183824,,Trinidad and Tobago,North America
Tunisia,29254,1145930,101,Tunisia,Africa
Turkey,101203,16919638,,Turkey,Asia
Turks and Caicos Islands,36,6380,0,Turks and Caicos Islands,North America
Tuvalu,,20,0,Tuvalu,Oceania
Uganda,3630,169396,0,Uganda,Africa
Ukraine,117054,5480251,153,Ukraine,Europe
United Arab Emirates,2346,1031500,321,United Arab Emirates,Asia
United Kingdom,207528,23735277,,United Kingdom,Europe
United States,1063310,96772268,51155,United States,North America
Uruguay,7501,987563,1117,Uruguay,South America
Uzbekistan,1637,244337,3,Uzbekistan,Asia
Vanuatu,14,11976,0,Vanuatu,Oceania
Vatican,,29,0,Vatican,Europe
Venezuela,5818,544966,2,Venezuela,South America
Vietnam,43154,11488685,1226,Vietnam,Asia
Wallis and Futuna,7,761,0,Wallis and Futuna,Oceania
Yemen,2158,11939,0,Yemen,Asia
Zambia,4017,333624,0,Zambia,Africa
Zimbabwe,5604,257749,0,Zimbabwe,Africa
